uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
e1a15081-251e-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Mittelsachsen'],Chemnitz,"2698","223","9280","146"
e88fcbca-b6b0-4ce5-8f61-944c130ea485,['Sachsen'],Landkreis,BFT,['Sächsische Schweiz-Osterzgebirge'],Dresden,"8812","7422","23384","148"
0bf84ca7-71d4-48e8-b770-77636db368fc,['Sachsen'],Landkreis,Supermarkt,['Landkreis Vogtlandkreis'],Chemnitz,"791","9182","51279","163"
2e9ba675-9b4e-4ca6-8154-039c7bc63f9b,['Sachsen'],Landkreis,ARAL,['Leipzig'],Leipzig,"1161","2178","26810","2087"
4cdd4309-ea27-407b-b318-7d1d76e2082a,['Sachsen'],Stadtkreis,ARAL,['Chemnitz'],Chemnitz,"369","217","4529","1134"
b4d96bec-b357-439e-bc21-d0fddd8ef843,['Sachsen'],Landkreis,Shell,['Sächsische Schweiz-Osterzgebirge'],Dresden,"162","1854","11135","148"
c5e60613-527f-485d-9ba2-8998159562eb,['Sachsen'],Landkreis,Shell,['Leipzig'],Leipzig,"335","67","24556","2087"
81e00b02-7cbf-4a98-b8bd-42f360b78e53,['Sachsen'],Landkreis,Marktkauf,['Nordsachsen'],Chemnitz,"245","14974","53652","98"
8c88d6b1-0859-469c-9075-a23a221dd0fe,['Sachsen'],Landkreis,GULF,['Görlitz'],Dresden,"11299","18658","80135","122"
a9c290fb-c4dd-431e-bca6-bc06a6258ff6,['Sachsen'],Landkreis,ARAL,['Mittelsachsen'],Chemnitz,"262","9265","18209","146"
168c3d3c-ef13-49d8-aadd-ef8668eae29c,['Sachsen'],Landkreis,ARAL,['Leipzig'],Leipzig,"3736","6275","16946","2087"
fd98e3a1-1b5e-4ed6-8999-801b2b7a9fc8,['Sachsen'],Stadtkreis,Access,['Leipzig'],Leipzig,"910","8689","2706","2087"
536e086c-5b63-465d-99e6-e4970e6e54ec,['Sachsen'],Stadtkreis,Shell,['Chemnitz'],Chemnitz,"327","373","4341","1134"
01a70cf5-c2d5-449d-9a32-eadc51695cc5,['Sachsen'],Landkreis,ESSO,['Sächsische Schweiz-Osterzgebirge'],Dresden,"7699","4752","23955","148"
a4043b73-4768-4f75-82c8-49cbb7bf87bc,['Sachsen'],Landkreis,Q1,['Landkreis Erzgebirgskreis'],Chemnitz,"5444","27759","35392","186"
45eb2dd4-c301-4688-8183-981c7219cf5b,['Sachsen'],Landkreis,Shell,['Mittelsachsen'],Chemnitz,"1496","5958","11316","146"
83203fbe-0421-4f2f-922f-2c0bc958356d,['Sachsen'],Landkreis,ARAL,['Landkreis Vogtlandkreis'],Leipzig,"7542","18119","87825","163"
92451112-3702-4a4a-af24-c2b18dca6e85,['Sachsen'],Stadtkreis,Shell,['Dresden'],Dresden,"208","1086","4039","1726"
67c23450-e9d1-4f57-b9fe-d6b499025525,['Sachsen'],Landkreis,BFT,['Nordsachsen'],Chemnitz,"5797","6466","49372","98"
79f1e86c-b2d4-45ec-acc4-fd652f1dc681,['Sachsen'],Landkreis,Supermarkt,['Leipzig'],Leipzig,"515","2092","26632","2087"
a986c849-68f7-438b-a7ec-40ed9b3a03ba,['Sachsen'],Stadtkreis,ARAL,['Leipzig'],Leipzig,"730","2136","5131","2087"
026e1252-db5d-459f-944a-15081d9d2c60,['Sachsen'],Landkreis,C&S,['Zwickau'],Chemnitz,"343","5818","33746","337"
dd4dc453-2854-4bc9-ac96-5adee91cb0f9,['Sachsen'],Stadtkreis,TotalEnergies,['Leipzig'],Leipzig,"522","5276","2050","2087"
17a0ce25-a696-4866-75a8-319e50135010,['Sachsen'],Landkreis,GULF,['Landkreis Vogtlandkreis'],Chemnitz,"2770","2881","74147","163"
53ad9d77-a259-40fc-b868-b79cb77086d8,['Sachsen'],Landkreis,ARAL,['Bautzen'],Dresden,"391","680","52107","126"
a8e9198d-accd-4187-88e4-93fd6b3f7654,['Sachsen'],Landkreis,ARAL,['Bautzen'],Dresden,"9594","9634","25192","126"
848e8a2f-7d91-4815-b423-4c8486831465,['Sachsen'],Landkreis,ESSO,['Meißen'],Dresden,"51","125","5510","167"
84a4d403-dbb9-4ad2-8564-35fb46d725e2,['Sachsen'],Landkreis,ARAL,['Sächsische Schweiz-Osterzgebirge'],Dresden,"9645","21661","31158","148"
f804e6d4-fb5e-4c0a-bb30-a5045e9c8f0a,['Sachsen'],Landkreis,ARAL,['Nordsachsen'],Leipzig,"1009","35831","48279","98"
